year,quarter,revenue_in_millions($),report_date
2010,Q2,28.41,2010-08-13
2010,Q3,31.24,2010-11-12
2011,Q1,49.03,2011-05-13
2011,Q2,58.17,2011-08-12
2011,Q3,57.67,2011-11-14
2011,Q4,39.38,2012-02-14
2012,Q1,30.17,2012-05-10
2012,Q2,26.65,2012-08-02
2012,Q3,50.1,2012-11-07
2012,Q4,306.33,2013-02-07
2013,Q1,561.79,2013-05-10
2013,Q2,405.14,2013-08-09
2013,Q3,431.35,2013-11-08
2013,Q4,615.22,2014-02-08
2014,Q1,620.54,2014-05-09
2014,Q2,769.35,2014-08-08
2014,Q3,851.8,2014-11-07
2014,Q4,956.66,2015-02-07
2015,Q1,939.88,2015-05-08
2015,Q2,954.98,2015-08-07
2015,Q3,936.79,2015-11-05
2015,Q4,1214.38,2016-02-05
2016,Q1,1147.05,2016-05-10
2016,Q2,1270.02,2016-08-05
2016,Q3,2298.44,2016-11-01
2016,Q4,2284.63,2017-02-01
2017,Q1,2696.27,2017-05-10
2017,Q2,2789.56,2017-08-04
2017,Q3,2984.68,2017-11-03
2017,Q4,3288.25,2018-02-03
2018,Q1,3408.75,2018-05-07
2018,Q2,4002.23,2018-08-06
2018,Q3,6824.41,2018-11-02
2018,Q4,7225.87,2019-02-02
2019,Q1,4541.46,2019-04-29
2019,Q2,6349.68,2019-07-29
2019,Q3,6303.0,2019-10-29
2019,Q4,7383.86,2020-01-29
2020,Q1,5985.0,2020-04-30
2020,Q2,6036.0,2020-07-28
2020,Q3,8771.0,2020-10-26
2020,Q4,10744.0,2021-01-26
2021,Q1,10389.0,2021-04-28
2021,Q2,11958.0,2021-07-27
2021,Q3,13757.0,2021-10-25
2021,Q4,17719.0,2022-01-25
2022,Q1,18756.0,2022-04-25
2022,Q2,16934.0,2022-07-25
2022,Q3,21454.0,2022-10-24
2022,Q4,24318.0,2023-01-24
2023,Q1,23329.0,2023-04-24
2023,Q2,24927.0,2023-07-24
2023,Q3,23350.0,2023-10-23
2023,Q4,25167.0,2024-01-23
2024,Q1,21301.0,2024-04-24
2024,Q2,25500.0,2024-07-24
2024,Q3,25182.0,2024-10-24
2024,Q4,25707.0,2025-01-24
2025,Q1,19335.0,2025-04-23
