year,quarter,revenue_in_millions
2010,FY,116.74
2010,Q2,28.41
2010,Q3,31.24
2011,FY,204.24
2011,Q1,49.03
2011,Q2,58.17
2011,Q3,57.67
2011,Q4,39.38
2012,FY,413.26
2012,Q1,30.17
2012,Q2,26.65
2012,Q3,50.1
2012,Q4,306.33
2013,FY,2013.5
2013,Q1,561.79
2013,Q2,405.14
2013,Q3,431.35
2013,Q4,615.22
2014,FY,3198.36
2014,Q1,620.54
2014,Q2,769.35
2014,Q3,851.8
2014,Q4,956.66
2015,FY,4046.03
2015,Q1,939.88
2015,Q2,954.98
2015,Q3,936.79
2015,Q4,1214.38
2016,FY,7000.13
2016,Q1,1147.05
2016,Q2,1270.02
2016,Q3,2298.44
2016,Q4,2284.63
2017,FY,11758.75
2017,Q1,2696.27
2017,Q2,2789.56
2017,Q3,2984.68
2017,Q4,3288.25
2018,FY,21461.27
2018,Q1,3408.75
2018,Q2,4002.23
2018,Q3,6824.41
2018,Q4,7225.87
2019,FY,24578.0
2019,Q1,4541.46
2019,Q2,6349.68
2019,Q3,6303.0
2019,Q4,7383.86
2020,FY,31536.0
2020,Q1,5985.0
2020,Q2,6036.0
2020,Q3,8771.0
2020,Q4,10744.0
2021,FY,53823.0
2021,Q1,10389.0
2021,Q2,11958.0
2021,Q3,13757.0
2021,Q4,17719.0
2022,FY,81462.0
2022,Q1,18756.0
2022,Q2,16934.0
2022,Q3,21454.0
2022,Q4,24318.0
2023,FY,96773.0
2023,Q1,23329.0
2023,Q2,24927.0
2023,Q3,23350.0
2023,Q4,25167.0
2024,FY,97690.0
2024,Q1,21301.0
2024,Q2,25500.0
2024,Q3,25182.0
2024,Q4,25707.0
2025,Q1,19335.0
